,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
123,heat,8,0,273.69230769230774,,,increasing 0,415.1,1.5166666666666666,715.2999999988824,4,1256.5,2020-01-14 15:29:00,1,18,"['190812-99010-001', '190811-99010-001', '200204-19180-409', '200204-19180-408', '200204-19180-407', '200204-19180-406', '200204-19180-405', '200204-19180-404']",2020-01-14 14:45:00,841.4,2020-01-14 14:45:00,841.4,2020-01-14 13:59:00,,2020-01-14 16:16:00,1256.5,,686.6,,
124,open,,0,,,,,,,10.799999998882413,4,,,,,,2020-01-15 05:13:00,1253.6,,,,,2020-01-15 05:21:00,995.2,,,,
125,reheat,,0,,,,,,,44.80000000074506,4,,,,0,,2020-01-15 05:21:00,995.2,,,,,2020-01-15 05:29:00,,,,,
126,open,,0,,,,,,,14.399999998509884,4,,,,,,2020-01-15 05:30:00,1265.2,,,,,2020-01-15 05:37:00,962.7,,,,
127,reheat,,0,,,,,,,104.0,4,,,,0,,2020-01-15 05:37:00,962.7,,,,,2020-01-15 06:00:00,,,,,
128,hold,,0,,,,,,,412.90000000037253,4,,,,,,2020-01-15 06:00:00,1250.6,,,,,2020-01-15 09:16:00,1253.2,,,1251.2395939086296,
129,open,,0,,,,,,,5.400000000372529,4,,,,,,2020-01-15 09:16:00,1253.2,,,,,2020-01-15 09:22:00,941.9,,,,
130,reheat,,0,,,,,,,51.69999999925494,4,,,,1,,2020-01-15 09:22:00,941.9,,,,,2020-01-15 09:33:00,,,,,
131,hold,,0,,,,,,,26.800000000745058,4,,,,,,2020-01-15 09:33:00,1252.9,,,,,2020-01-15 09:43:00,1252.6,,,1254.409090909091,
132,open,,0,,,,,,,9.0,4,,,,,,2020-01-15 09:43:00,1252.6,,,,,2020-01-15 09:48:00,1030.6,,,,
