,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부
61,2210.5,26640,19260,127.0,0,0,0,5,54660,13080,0,0,0,0,0,0,0,0,0,0,0,0,5,54660,13080,0,0,0,0,0,0,5,54660,13080,620640,0,누락없음,3,2019-08-03,야간,2019-08-02 23:49,금,안겹침,0,14,0,C,평일
62,178.7,2280,2160,936.0,0,0,0,3,33855,11285,0,0,0,0,0,0,0,0,0,0,0,0,3,33855,11285,0,0,0,0,0,0,3,33855,11285,4860,0,누락없음,1,2019-08-03,야간,2019-08-03 23:12,토,안겹침,0,10,0,C,주말
63,560.5,9240,4500,876.8,8,88000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88000,11000,0,0,0,0,0,0,8,88000,11000,1860,0,누락없음,3,2019-08-04,야간,2019-08-04 4:14,일,안겹침,0,5,0,A,주말
64,920.8,6720,5880,873.6,6,96600,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96600,16100,0,0,0,0,0,0,6,96600,16100,2160,0,누락없음,3,2019-08-06,주간,2019-08-05 17:08,월,안겹침,0,8,0,A,평일
65,890.9,5280,5220,684.9,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,0,0,0,6,81144,13524,24120,1,누락없음,4,2019-08-06,야간,2019-08-06 3:32,화,안겹침,0,4,0,A,평일
66,2666.1,19680,19560,284.2,7,68859,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68859,9837,0,0,0,0,0,0,7,68859,9837,1688100,0,누락없음,5,2019-08-07,야간,2019-08-06 23:46,화,안겹침,0,7,0,A,평일
67,1571.4,9540,9360,636.4,0,0,0,6,60300,11430,1,5820,5820,0,0,0,0,0,0,0,0,0,7,66120,11430,0,0,0,0,0,0,7,66120,11430,41520,1,누락없음,4,2019-08-07,야간,2019-08-06 22:57,화,안겹침,0,6,0,CS,평일
68,2268.6,18720,14220,661.5,10,150696,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,150696,16100,0,0,0,0,0,0,10,150696,16100,9300,3,누락없음,3,2019-08-07,주간,2019-08-06 13:24,화,안겹침,0,6,0,A,평일
69,792.5,9840,9720,502.6,2,27048,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27048,13524,0,0,0,0,0,0,2,27048,13524,61260,0,누락없음,1,2019-08-07,주간,2019-08-06 15:45,화,안겹침,0,3,0,A,평일
70,1582.8,12120,11040,930.5,4,54096,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,141696,14600,0,0,0,0,0,0,10,141696,14600,1620,2,강종누락,3,2019-08-08,주간,2019-08-07 15:27,수,겹침,0,10,4,A,평일
