,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
169,reheat,,0,,,51.09999999962747,,5,,,,0,,2019-07-11 21:39:00,1072.0,,,,,2019-07-11 21:47:00,,,,,
170,hold,,0,,,30.0,,5,,,,,,2019-07-11 21:47:00,1286.7,,,,,2019-07-11 21:55:00,1272.4,,,1277.8111111111111,
171,open,,0,,,5.0,,5,,,,,,2019-07-11 21:55:00,1272.4,,,,,2019-07-11 21:59:00,1002.8,,,,
172,reheat,,0,,,61.0,,5,,,,2,,2019-07-11 21:59:00,1002.8,,,,,2019-07-11 22:09:00,,,,,
173,open,,0,,,13.300000000745058,,5,,,,,,2019-07-11 22:10:00,1285.2,,,,,2019-07-11 22:16:00,985.0,,,,
174,reheat,,0,,,74.19999999925494,,5,,,,1,,2019-07-11 22:16:00,985.0,,,,,2019-07-11 22:29:00,,,,,
175,heat,8,1,,,587.7999999988824,587.7999999988824,5,1254.8,2019-07-12 04:14:00,0,1,[],2019-07-12 04:14:00,576.4,2019-07-12 04:15:00,586.7,2019-07-11 22:30:00,,2019-07-12 05:22:00,1254.8,,576.4,,
176,open,,0,,,3.299999998882413,,5,,,,,,2019-07-12 05:44:00,1251.3,,,,,2019-07-12 06:04:00,632.1,,,,
177,reheat,,0,,,507.30000000074506,,5,,,,2,,2019-07-12 06:04:00,632.1,,,,,2019-07-12 07:05:00,,,,,
178,hold,,0,,,86.0,,5,,,,,,2019-07-12 07:05:00,992.8,,,,,2019-07-12 07:15:00,1001.8,,,997.4909090909091,
179,open,,0,,,28.40000000037253,,5,,,,,,2019-07-12 07:15:00,1001.8,,,,,2019-07-12 07:25:00,883.5,,,,
180,reheat,,0,,,2709.5999999996275,,5,,,,3,,2019-07-12 07:25:00,883.5,,,,,2019-07-12 12:52:00,,,,,
181,hold,,0,,,1897.800000000745,,5,,,,,,2019-07-12 12:52:00,1255.2,,,,,2019-07-12 20:39:00,1255.7,,,1251.5517094017096,
