,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
146,reheat,,0,,,,,,,128.7999999988824,,2,,,,1,,2019-07-16 13:14:00,905.2,,,,,2019-07-16 13:45:00,,,,,
147,hold,,0,,,,,,,225.7000000011176,,2,,,,,,2019-07-16 13:45:00,1277.6,,,,,2019-07-16 15:13:00,1275.7,,,1274.034831460674,
148,open,,0,,,,,,,3.299999998882413,,2,,,,,,2019-07-16 15:13:00,1275.7,,,,,2019-07-16 15:15:00,1179.7,,,,
149,reheat,,0,,,,,,,28.0,,2,,,,1,,2019-07-16 15:15:00,1179.7,,,,,2019-07-16 15:24:00,,,,,
150,open,,0,,,,,,,21.5,,2,,,,,,2019-07-16 15:25:00,1279.3,,,,,2019-07-16 15:33:00,1050.8,,,,
151,reheat,,0,,,,,,,49.5,,2,,,,1,,2019-07-16 15:33:00,1050.8,,,,,2019-07-16 15:47:00,,,,,
152,hold,,0,,,,,,,67.69999999925494,,2,,,,,,2019-07-16 15:47:00,1281.2,,,,,2019-07-16 16:12:00,1276.6,,,1275.9576923076925,
153,open,,0,,,,,,,8.300000000745058,,2,,,,,,2019-07-16 16:12:00,1276.6,,,,,2019-07-16 16:16:00,1046.6,,,,
154,reheat,,0,,,,,,,72.59999999962747,,2,,,,1,,2019-07-16 16:16:00,1046.6,,,,,2019-07-16 16:39:00,,,,,
155,hold,,0,,,,,,,196.40000000037253,,2,,,,,,2019-07-16 16:39:00,1271.9,,,,,2019-07-16 17:56:00,1276.4,,,1274.4615384615383,
156,open,,0,,,,,,,14.900000000372529,,2,,,,,,2019-07-16 17:56:00,1276.4,,,,,2019-07-16 18:04:00,941.9,,,,
157,reheat,,0,,,,,,,52.899999998509884,,2,,,,1,,2019-07-16 18:04:00,941.9,,,,,2019-07-16 18:17:00,,,,,
158,hold,,0,,,,,,,69.80000000074506,,2,,,,,,2019-07-16 18:17:00,1292.0,,,,,2019-07-16 18:40:00,1275.4,,,1280.9958333333334,
159,open,,0,,,,,,,21.59999999962747,,2,,,,,,2019-07-16 18:40:00,1275.4,,,,,2019-07-16 18:51:00,952.8,,,,
160,reheat,,0,,,,,,,57.90000000037253,,2,,,,1,,2019-07-16 18:51:00,952.8,,,,,2019-07-16 19:05:00,,,,,
161,heat,6,1,449.48275862068954,,,increasing 0,434.4999999999999,0.9666666666666667,415.0,379.80000000074506,2,1243.1,2019-07-17 02:06:00,1,4,[],2019-07-17 01:55:00,808.6,2019-07-17 02:00:00,972.6,2019-07-16 19:09:00,,2019-07-17 02:53:00,1243.1,,672.4,,
162,open,,0,,,,,,,35.30000000074506,,2,,,,,,2019-07-17 02:59:00,1243.7,,,,,2019-07-17 03:08:00,801.0,,,,
163,reheat,,0,,,,,,,154.0,,2,,,,1,,2019-07-17 03:08:00,801.0,,,,,2019-07-17 03:30:00,,,,,
164,hold,,0,,,,,,,26.799999998882413,,2,,,,,,2019-07-17 03:30:00,1196.9,,,,,2019-07-17 03:33:00,1208.5,,,1203.475,
165,open,,0,,,,,,,10.100000001490116,,2,,,,,,2019-07-17 03:33:00,1208.5,,,,,2019-07-17 03:40:00,702.8,,,,
166,reheat,,0,,,,,,,197.39999999850988,,2,,,,1,,2019-07-17 03:40:00,702.8,,,,,2019-07-17 04:07:00,,,,,
167,open,,0,,,,,,,3.300000000745058,,2,,,,,,2019-07-17 04:15:00,1135.9,,,,,2019-07-17 04:20:00,701.8,,,,
168,reheat,,0,,,,,,,1386.0,,2,,,,1,,2019-07-17 04:20:00,701.8,,,,,2019-07-17 06:53:00,,,,,
169,open,,0,,,,,,,13.300000000745058,,2,,,,,,2019-07-17 06:59:00,1226.7,,,,,2019-07-17 07:05:00,753.0,,,,
