,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,啊胶荤侩樊,啊凯肺 锅龋,啊凯肯丰 柯档,啊凯吝 付瘤阜 巩摧腮 矫埃,啊凯吝 巩凯覆 冉荐,滑矫埃,家犁 list,矫累矫埃,矫累柯档,角力 矫累矫埃,盔贰矫累痢柯档,捞傈 辆丰矫埃,累诀老磊,辆丰矫埃,辆丰柯档,林/具埃,弥辆 啊凯矫累 柯档,乞闭柯档,乞老/林富
86,hold,37.0,0.0,,,,,,,658.6999999992547,2,,,,,[''],2020-04-28 11:31:00,1287.0,,,,2020-04-28,2020-04-28 14:46:00,1275.4,林埃,,1274.17806122449,
87,hold,38.0,0.0,,,,,,,794.5,2,,,,,[''],2020-04-28 21:37:00,1270.6,,,,2020-04-29,2020-04-29 02:28:00,1257.9,林埃,,1254.3162671232876,
88,hold,39.0,0.0,,,,,,,163.69999999925494,2,,,,,[''],2020-04-30 11:52:00,1290.2,,,,2020-04-30,2020-04-30 12:59:00,1274.2,林埃,,1276.375,
89,hold,40.0,0.0,,,,,,,140.5,2,,,,,[''],2020-05-06 12:10:00,1286.7,,,,2020-05-06,2020-05-06 13:02:00,1274.7,林埃,,1274.9716981132076,
90,hold,41.0,0.0,,,,,,,148.59999999962747,2,,,,,[''],2020-05-07 09:53:00,1289.7,,,,2020-05-07,2020-05-07 10:24:00,1279.8,林埃,,1279.1875,
91,hold,42.0,0.0,,,,,,,232.80000000074506,2,,,,,[''],2020-05-08 23:38:00,1273.4,,,,2020-05-08,2020-05-09 01:01:00,1276.3,具埃,,1273.5654761904766,
92,hold,43.0,0.0,,,,,,,216.2000000011176,2,,,,,[''],2020-05-11 19:43:00,1281.4,,,,2020-05-11,2020-05-11 21:04:00,1275.1,具埃,,1275.0597560975611,
93,hold,44.0,0.0,,,,,,,481.8999999985099,2,,,,,[''],2020-05-12 22:46:00,1280.3,,,,2020-05-12,2020-05-13 02:09:00,1276.0,具埃,,1274.2352941176468,
94,hold,45.0,0.0,,,,,,,224.6999999992549,2,,,,,[''],2020-05-13 23:35:00,1277.5,,,,2020-05-13,2020-05-14 01:02:00,1276.9,具埃,,1275.2818181818182,
95,hold,46.0,0.0,,,,,,,452.59999999962747,2,,,,,[''],2020-05-14 10:40:00,1260.5,,,,2020-05-14,2020-05-14 13:15:00,1255.3,具埃,,1254.8653846153845,
96,hold,47.0,0.0,,,,,,,735.3000000007451,2,,,,,[''],2020-05-15 07:50:00,1268.0,,,,2020-05-15,2020-05-15 10:31:00,1272.8,具埃,,1256.7540123456795,
97,hold,48.0,0.0,,,,,,,131.59999999962747,2,,,,,[''],2020-05-18 17:12:00,1284.8,,,,2020-05-18,2020-05-18 17:54:00,1275.4,林埃,,1274.4604651162792,
98,hold,49.0,0.0,,,,,,,214.5,2,,,,,[''],2020-05-22 12:01:00,1261.9,,,,2020-05-22,2020-05-22 13:00:00,1255.5,林埃,,1256.0183333333332,
99,hold,50.0,0.0,,,,,,,425.09999999962747,2,,,,,[''],2020-05-25 16:00:00,1261.6,,,,2020-05-25,2020-05-25 18:46:00,1274.7,具埃,,1259.8808383233534,
100,hold,51.0,0.0,,,,,,,140.7999999988824,2,,,,,[''],2020-05-26 23:59:00,1294.4,,,,2020-05-26,2020-05-27 00:52:00,1275.9,具埃,,1276.8759259259255,
101,hold,52.0,0.0,,,,,,,450.4000000003725,2,,,,,[''],2020-05-27 14:44:00,1262.4,,,,2020-05-27,2020-05-27 17:52:00,1256.5,具埃,,1254.209523809524,
102,hold,53.0,0.0,,,,,,,105.70000000111759,2,,,,,[''],2020-06-01 10:09:00,1282.7,,,,2020-06-01,2020-06-01 10:47:00,1273.7,林埃,,1274.325641025641,
103,hold,54.0,0.0,,,,,,,768.9000000003723,2,,,,,[''],2020-06-03 11:45:00,1279.7,,,,2020-06-03,2020-06-03 15:51:00,1276.0,林埃,,1274.6947368421052,
104,hold,56.0,0.0,,,,,,,549.8999999985099,2,,,,,[''],2020-06-06 00:08:00,1292.6,,,,2020-06-05,2020-06-06 03:47:00,1274.9,具埃,,1273.4645454545453,
105,hold,57.0,0.0,,,,,,,381.0,2,,,,,[''],2020-06-08 11:00:00,1284.9,,,,2020-06-08,2020-06-08 13:21:00,1277.2,林埃,,1275.499295774648,
106,hold,58.0,0.0,,,,,,,242.5,2,,,,,[''],2020-06-09 11:31:00,1274.2,,,,2020-06-09,2020-06-09 12:57:00,1256.1,林埃,,1255.6908045977013,
107,hold,59.0,0.0,,,,,,,2162.7000000011176,2,,,,,[''],2020-06-09 17:56:00,1268.2,,,,2020-06-10,2020-06-10 05:42:00,1255.5,林埃,,1246.1797736916549,
108,hold,60.0,0.0,,,,,,,1883.1999999992554,2,,,,,[''],2020-06-11 19:03:00,1268.5,,,,2020-06-12,2020-06-12 04:22:00,1257.8,林埃,,1254.8774107142876,
109,hold,61.0,0.0,,,,,,,271.40000000037253,2,,,,,[''],2020-06-16 08:40:00,1276.2,,,,2020-06-15,2020-06-16 10:20:00,1276.0,林埃,,1275.4049504950494,
