,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
112,open,5.0,0.0,,[],['200205-19922-001'],,,,8.900000000372529,,1,,,,,"['200205-19922-001', '200212-19004-002', '200212-19004-001', '200116-19334-002']",2020-03-11 02:53:00,1262.5,,,,2020-03-10,2020-03-11 02:59:00,1134.4,야간,,,
113,reheat,5.0,0.0,,[],[],,,,12.5,,1,,,,0.0,"['200205-19922-001', '200212-19004-002', '200212-19004-001', '200116-19334-002']",2020-03-11 02:59:00,1134.4,,,,2020-03-10,2020-03-11 03:05:00,,야간,,,
114,hold,5.0,0.0,,[],[],,,,5.299999999813736,,1,,,,,"['200205-19922-001', '200212-19004-002', '200212-19004-001', '200116-19334-002']",2020-03-11 03:05:00,1261.3,,,,2020-03-10,2020-03-11 03:09:00,1261.7,야간,,1256.78,
115,open,5.0,0.0,,[],[],,,,14.200000000186265,,1,,,,,[''],2020-03-11 03:09:00,1261.7,,,,2020-03-10,2020-03-11 03:16:00,1144.8,야간,,,
116,reheat,5.0,0.0,,[],[],,,,8.899999999441206,,1,,,,3.0,[''],2020-03-11 03:16:00,1144.8,,,,2020-03-10,2020-03-11 03:22:00,,야간,,,
117,hold,5.0,0.0,,[],[],,,,17.799999999813735,,1,,,,,[''],2020-03-11 03:22:00,1253.6,,,,2020-03-10,2020-03-11 03:31:00,1263.3,야간,,1258.59,
118,open,5.0,0.0,,[],"['200205-19922-001', '200205-19922-001']",,,,1.800000000745058,,1,,,,,"['200205-19922-001', '200212-19004-002', '200212-19004-001', '200116-19334-002']",2020-03-11 03:31:00,1263.3,,,,2020-03-10,2020-03-11 03:33:00,1029.4,야간,,,
119,reheat,5.0,0.0,,[],[],,,,21.299999999813735,,1,,,,2.0,"['200205-19922-001', '200212-19004-002', '200212-19004-001', '200116-19334-002']",2020-03-11 03:33:00,1029.4,,,,2020-03-10,2020-03-11 03:42:00,,야간,,,
120,hold,5.0,0.0,,[],[],,,,10.700000000186263,,1,,,,,"['200205-19922-001', '200212-19004-002', '200212-19004-001', '200116-19334-002']",2020-03-11 03:42:00,1276.9,,,,2020-03-10,2020-03-11 03:47:00,1283.4,야간,,1279.8000000000004,
121,open,5.0,0.0,,[],[],,,,3.599999999627471,,1,,,,,[''],2020-03-11 03:47:00,1283.4,,,,2020-03-10,2020-03-11 03:51:00,1070.4,야간,,,
122,reheat,5.0,0.0,,[],[],,,,21.299999999813735,,1,,,,0.0,[''],2020-03-11 03:51:00,1070.4,,,,2020-03-10,2020-03-11 03:58:00,,야간,,,
123,hold,5.0,0.0,,[],[],,,,40.700000000186265,,1,,,,,[''],2020-03-11 03:58:00,1280.1,,,,2020-03-10,2020-03-11 04:19:00,1282.9,야간,,1279.2181818181818,
124,open,5.0,0.0,,[],"['200212-19004-001', '200212-19004-002']",,,,7.099999999627472,,1,,,,,"['200205-19922-001', '200205-19922-001', '200116-19334-002']",2020-03-11 04:19:00,1282.9,,,,2020-03-10,2020-03-11 04:26:00,873.7,야간,,,
125,reheat,5.0,0.0,,[],[],,,,28.300000000745047,,1,,,,0.0,"['200205-19922-001', '200205-19922-001', '200116-19334-002']",2020-03-11 04:26:00,873.7,,,,2020-03-10,2020-03-11 04:33:00,,야간,,,
126,open,5.0,0.0,,[],[],,,,3.599999999627471,,1,,,,,[''],2020-03-11 04:35:00,1284.2,,,,2020-03-10,2020-03-11 04:36:00,1233.3,야간,,,
